rank,compound_id,label,pchembl,best_affinity,n_poses,runtime_s,smiles
1,CHEMBL388978,active,9.44,-12.802,3,81.6,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
2,CHEMBL1087650,inactive,4.58,-11.125,10,156.07,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1
3,CHEMBL559513,active,9.0,-11.062,9,107.02,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
4,CHEMBL21333,filler,,-10.974,9,232.05,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1
5,CHEMBL3943841,inactive,4.38,-10.755,10,171.44,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
6,CHEMBL489646,inactive,4.74,-10.691,10,126.03,COc1ccc(CN/C=C2\C(=O)NC(=O)c3ccc(-c4ccsc4)cc32)cc1O
7,CHEMBL103,filler,,-10.689,10,19.21,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
8,CHEMBL1089405,inactive,4.68,-10.619,10,225.97,CP(C)(=O)c1ccc(Nc2nc(C3CCCC3)nc3c2ncn3CCc2cccc(O)c2)cc1
9,CHEMBL3421636,inactive,4.48,-10.604,10,77.83,CN1CCN(c2ccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)cc2)CC1
10,CHEMBL489627,inactive,4.76,-10.581,10,52.49,O=C1NC(=O)c2ccccc2/C1=C/NCc1ccc(O)cc1
11,CHEMBL4094440,inactive,4.3,-10.493,10,136.03,NS(=O)(=O)c1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1
12,CHEMBL447758,inactive,4.77,-10.476,10,58.55,O=C1NC(=O)c2ccccc2/C1=C/NCc1cccc(O)c1
13,CHEMBL1222565,inactive,4.02,-10.436,10,239.97,O=C(NC[C@@H]1CCCN1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1
14,CHEMBL409892,active,8.8,-10.436,10,61.59,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1
15,CHEMBL495696,active,8.7,-10.412,10,54.59,N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1
16,CHEMBL490053,inactive,4.35,-10.396,10,81.77,COc1ccc(CN(C)/C=C2\C(=O)NC(=O)c3ccc(Br)cc32)cc1O
17,CHEMBL445945,active,8.82,-10.376,9,80.48,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1
18,CHEMBL563674,inactive,4.62,-10.339,10,92.69,S=c1[nH]c(=S)c2c(Cc3nn4c(Cc5ccccc5)nnc4s3)n[nH]c2[nH]1
19,CHEMBL498705,inactive,4.04,-10.335,10,230.87,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
20,CHEMBL264406,inactive,4.75,-10.334,10,57.93,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21
21,CHEMBL560817,active,8.7,-10.323,10,98.71,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1
22,CHEMBL450786,inactive,4.16,-10.27,10,477.8,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1
23,CHEMBL2042136,inactive,4.58,-10.268,10,319.31,C[C@@H](Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
24,CHEMBL600828,inactive,4.6,-10.238,10,70.6,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
