compound_id,label,docking_score,mw,clogp,tpsa,heavy_atoms,le,bei,sei,smiles
CHEMBL388978,active,-12.802,466.54,4.35,69.5,35,0.3658,27.44,184.33,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL1087650,inactive,-11.125,474.57,4.72,69.8,36,0.309,23.44,159.41,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1
CHEMBL559513,active,-11.062,418.51,1.57,105.2,31,0.3568,26.43,105.15,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL21333,filler,-10.974,481.51,4.63,123.0,36,0.3048,22.79,89.22,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1
CHEMBL3943841,inactive,-10.755,474.61,3.5,91.2,35,0.3073,22.66,117.91,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
CHEMBL489646,inactive,-10.691,406.46,3.53,87.7,29,0.3687,26.3,121.96,COc1ccc(CN/C=C2\C(=O)NC(=O)c3ccc(-c4ccsc4)cc32)cc1O
CHEMBL103,filler,-10.689,314.47,4.72,34.1,23,0.4647,33.99,313.09,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL1089405,inactive,-10.619,475.53,5.42,92.9,34,0.3123,22.33,114.27,CP(C)(=O)c1ccc(Nc2nc(C3CCCC3)nc3c2ncn3CCc2cccc(O)c2)cc1
CHEMBL3421636,inactive,-10.604,384.49,4.12,60.1,29,0.3657,27.58,176.5,CN1CCN(c2ccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)cc2)CC1
CHEMBL489627,inactive,-10.581,294.31,1.79,78.4,22,0.481,35.95,134.91,O=C1NC(=O)c2ccccc2/C1=C/NCc1ccc(O)cc1
CHEMBL4094440,inactive,-10.493,468.54,4.01,123.8,34,0.3086,22.4,84.79,NS(=O)(=O)c1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1
CHEMBL447758,inactive,-10.476,294.31,1.79,78.4,22,0.4762,35.6,133.57,O=C1NC(=O)c2ccccc2/C1=C/NCc1cccc(O)c1
CHEMBL1222565,inactive,-10.436,495.41,4.8,83.3,34,0.3069,21.07,125.21,O=C(NC[C@@H]1CCCN1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1
CHEMBL409892,active,-10.436,367.39,1.65,126.5,26,0.4014,28.41,82.47,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1
CHEMBL495696,active,-10.412,313.32,2.8,91.8,24,0.4338,33.23,113.43,N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1
CHEMBL490053,inactive,-10.396,417.26,2.91,78.9,26,0.3998,24.91,131.81,COc1ccc(CN(C)/C=C2\C(=O)NC(=O)c3ccc(Br)cc32)cc1O
CHEMBL445945,active,-10.376,366.4,2.29,114.2,26,0.3991,28.32,90.87,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1
CHEMBL563674,inactive,-10.339,412.53,3.36,103.3,27,0.3829,25.06,100.05,S=c1[nH]c(=S)c2c(Cc3nn4c(Cc5ccccc5)nnc4s3)n[nH]c2[nH]1
CHEMBL498705,inactive,-10.335,430.55,6.82,36.1,33,0.3132,24.0,286.29,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
CHEMBL264406,inactive,-10.334,317.4,3.98,69.6,24,0.4306,32.56,148.43,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21
CHEMBL560817,active,-10.323,418.51,1.57,105.2,31,0.333,24.67,98.13,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1
CHEMBL450786,inactive,-10.27,641.62,6.11,102.6,43,0.2388,16.01,100.12,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1
CHEMBL2042136,inactive,-10.268,540.61,6.38,94.5,38,0.2702,18.99,108.69,C[C@@H](Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL600828,inactive,-10.238,357.27,3.04,128.4,26,0.3938,28.66,79.76,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
CHEMBL135,filler,-10.215,272.39,3.61,40.5,20,0.5108,37.5,252.47,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
