frame,time_ns,E_complex_kcal,E_receptor_kcal,E_ligand_kcal,dG_kcal
49,0.5,-6771.08,-6768.49,36.54,-39.13
54,0.55,-6741.96,-6731.69,37.77,-48.04
59,0.6,-6748.14,-6748.55,46.97,-46.56
64,0.65,-6669.23,-6659.73,38.88,-48.38
69,0.7,-6791.4,-6782.43,40.35,-49.31
74,0.75,-6743.12,-6740.02,38.81,-41.92
79,0.8,-6808.84,-6793.32,30.65,-46.17
84,0.85,-6823.46,-6819.7,43.16,-46.92
89,0.9,-6788.86,-6783.82,41.67,-46.72
94,0.95,-6781.93,-6784.71,42.23,-39.45
99,1.0,-6714.03,-6711.41,43.11,-45.74
104,1.05,-6739.12,-6737.02,44.36,-46.46
109,1.1,-6715.5,-6703.83,34.97,-46.64
114,1.15,-6792.74,-6785.18,35.19,-42.76
119,1.2,-6833.45,-6829.59,39.42,-43.28
124,1.25,-6744.01,-6741.79,43.76,-45.97
129,1.3,-6769.2,-6771.72,43.22,-40.71
134,1.35,-6751.69,-6752.73,40.09,-39.04
139,1.4,-6800.56,-6798.31,43.58,-45.84
144,1.45,-6802.12,-6795.4,34.33,-41.05
149,1.5,-6719.93,-6702.08,31.34,-49.2
154,1.55,-6788.97,-6777.8,33.21,-44.38
159,1.6,-6814.74,-6811.07,40.74,-44.41
164,1.65,-6831.14,-6829.93,43.61,-44.82
169,1.7,-6811.61,-6799.96,35.2,-46.86
174,1.75,-6741.52,-6739.01,38.96,-41.48
179,1.8,-6738.92,-6734.76,40.98,-45.13
184,1.85,-6796.81,-6794.97,38.78,-40.62
189,1.9,-6773.55,-6770.2,33.6,-36.96
194,1.95,-6756.29,-6756.17,42.42,-42.55
199,2.0,-6722.28,-6707.75,37.21,-51.74
