frame,time_ps,rel_com_x,rel_com_y,rel_com_z,distance_to_protein_com
0,0.20000000059628115,-4.0559,-2.5094,-40.8542,41.1317
1,0.4000000011925623,-4.2534,-2.0634,-41.1067,41.3776
2,0.6000000017888434,-4.7357,-1.9812,-41.4854,41.8018
3,0.8000000023851246,-4.9482,-2.1523,-41.5557,41.9045
4,1.0000000029814058,-5.2256,-2.6435,-41.7693,42.1778
5,1.2000000035776868,-5.4137,-2.3122,-41.285,41.7026
6,1.400000004173968,-5.2872,-2.1654,-41.0697,41.4652
7,1.6000000047702492,-5.1417,-2.0439,-41.3864,41.7546
8,1.8000000053665304,-5.1544,-2.0799,-41.2387,41.6116
9,2.0000000059628116,-5.0707,-2.4016,-41.4408,41.8189
