x,y
572.480620,0.084367
582.558140,0.079404
587.596899,0.093052
592.635659,0.091811
597.674419,0.114144
602.713178,0.111663
607.751938,0.094293
612.790698,0.089330
617.829457,0.076923
622.868217,0.074442
627.906977,0.088089
632.945736,0.105459
637.984496,0.129032
643.023256,0.150124
648.062016,0.167494
653.100775,0.117866
658.139535,0.117866
663.178295,0.096774
668.217054,0.076923
673.255814,0.079404
678.294574,0.101737
683.333333,0.136476
688.372093,0.174938
693.410853,0.194789
698.449612,0.275434
703.488372,0.272953
708.527132,0.217122
713.565891,0.193548
718.604651,0.161290
723.643411,0.133995
728.682171,0.114144
733.720930,0.100496
738.759690,0.086849
743.798450,0.076923
748.837209,0.073201
753.875969,0.076923
758.914729,0.078164
763.953488,0.086849
768.992248,0.098015
774.031008,0.114144
779.069767,0.145161
784.108527,0.188586
789.147287,0.271712
794.186047,0.281638
799.224806,0.229529
804.263566,0.187345
809.302326,0.150124
814.341085,0.124069
819.379845,0.106700
824.418605,0.098015
829.457364,0.083127
834.496124,0.081886
839.534884,0.112903
844.573643,0.116625
849.612403,0.132754
854.651163,0.158809
859.689922,0.146402
864.728682,0.174938
869.767442,0.208437
874.806202,0.301489
879.844961,0.445409
884.883721,0.473945
889.922481,0.357320
894.961240,0.251861
900.000000,0.168734
905.038760,0.132754
910.077519,0.114144
915.116279,0.105459
920.155039,0.101737
925.193798,0.093052
930.232558,0.086849
935.271318,0.079404
945.348837,0.081886
950.387597,0.074442
955.426357,0.076923
960.465116,0.074442
965.503876,0.073201
970.542636,0.074442
975.581395,0.084367
980.620155,0.095533
985.658915,0.090571
990.697674,0.114144
995.736434,0.101737
1000.775194,0.094293
1005.813953,0.116625
1010.852713,0.116625
1015.891473,0.124069
1025.968992,0.146402
1031.007752,0.153846
1036.046512,0.218362
1041.085271,0.465261
1046.124031,0.864764
1051.162791,0.883375
1056.201550,0.616625
1061.240310,0.229529
1066.279070,0.131514
1071.317829,0.136476
1076.356589,0.165012
1081.395349,0.162531
1086.434109,0.153846
1091.472868,0.147643
1096.511628,0.145161
1101.550388,0.135236
1106.589147,0.127792
1111.627907,0.130273
1116.666667,0.143921
1121.705426,0.158809
1126.744186,0.163772
1131.782946,0.184864
1136.821705,0.165012
1141.860465,0.168734
1146.899225,0.189826
1151.937984,0.204715
1156.976744,0.253102
1162.015504,0.303970
1167.054264,0.312655
1172.093023,0.394541
1177.131783,0.384615
1182.170543,0.372208
1187.209302,0.372208
1192.248062,0.305211
1197.286822,0.245658
1202.325581,0.198511
1207.364341,0.131514
1212.403101,0.106700
1217.441860,0.095533
1222.480620,0.091811
1227.519380,0.094293
1232.558140,0.099256
1237.596899,0.109181
1242.635659,0.116625
1247.674419,0.125310
1252.713178,0.122829
1257.751938,0.111663
1262.790698,0.120347
1267.829457,0.125310
1272.868217,0.148883
1277.906977,0.169975
1282.945736,0.186104
1287.984496,0.239454
1293.023256,0.243176
1298.062016,0.209677
1303.100775,0.172457
1308.139535,0.172457
1313.178295,0.202233
1318.217054,0.203474
1323.255814,0.230769
1328.294574,0.205955
1333.333333,0.239454
1338.372093,0.251861
1343.410853,0.251861
1348.449612,0.239454
1353.488372,0.212159
1358.527132,0.184864
1363.565891,0.186104
1368.604651,0.160050
1373.643411,0.181141
1378.682171,0.186104
1383.720930,0.189826
1388.759690,0.157568
1393.798450,0.157568
1398.837209,0.142680
