x,y
401.849406,90.909091
403.698811,88.235294
409.247028,90.909091
411.096433,88.235294
422.192867,90.909091
424.042272,85.561497
425.891678,80.213904
427.741083,80.213904
431.439894,74.866310
433.289300,69.518717
435.138705,66.844920
436.988111,66.844920
438.837517,64.171123
440.686922,64.171123
442.536328,64.171123
444.385733,64.171123
446.235139,64.171123
448.084544,64.171123
449.933950,64.171123
451.783355,66.844920
453.632761,66.844920
455.482166,66.844920
457.331572,66.844920
459.180978,72.192513
461.030383,69.518717
462.879789,72.192513
464.729194,72.192513
466.578600,72.192513
468.428005,77.540107
470.277411,80.213904
472.126816,82.887701
473.976222,88.235294
475.825627,90.909091
477.675033,93.582888
481.373844,101.604278
483.223250,104.278075
485.072655,106.951872
486.922061,106.951872
488.771466,104.278075
492.470277,101.604278
494.319683,106.951872
496.169089,112.299465
498.018494,117.647059
499.867900,131.016043
501.717305,147.058824
503.566711,163.101604
505.416116,235.294118
507.265522,283.422460
509.114927,371.657754
510.964333,374.331551
512.813738,355.614973
514.663144,243.315508
516.512550,160.427807
518.361955,139.037433
520.211361,109.625668
522.060766,104.278075
523.910172,101.604278
525.759577,101.604278
527.608983,104.278075
529.458388,112.299465
531.307794,133.689840
533.157199,147.058824
535.006605,184.491979
536.856011,232.620321
538.705416,363.636364
540.554822,457.219251
542.404227,516.042781
544.253633,516.042781
546.103038,467.914439
547.952444,393.048128
549.801849,344.919786
551.651255,307.486631
553.500661,254.010695
555.350066,213.903743
557.199472,171.122995
559.048877,128.342246
560.898283,114.973262
562.747688,101.604278
564.597094,88.235294
566.446499,82.887701
568.295905,77.540107
570.145310,72.192513
571.994716,72.192513
573.844122,74.866310
586.789960,82.887701
588.639366,90.909091
590.488771,117.647059
592.338177,139.037433
594.187583,165.775401
596.036988,168.449198
597.886394,165.775401
599.735799,128.342246
601.585205,106.951872
603.434610,77.540107
605.284016,72.192513
607.133421,72.192513
608.982827,72.192513
610.832232,66.844920
612.681638,66.844920
614.531044,66.844920
616.380449,66.844920
618.229855,69.518717
623.778071,72.192513
625.627477,72.192513
627.476882,77.540107
629.326288,82.887701
631.175694,85.561497
633.025099,104.278075
634.874505,117.647059
636.723910,141.711230
638.573316,149.732620
640.422721,173.796791
642.272127,171.122995
644.121532,160.427807
645.970938,139.037433
647.820343,109.625668
649.669749,93.582888
651.519155,82.887701
653.368560,77.540107
655.217966,72.192513
657.067371,74.866310
658.916777,74.866310
660.766182,74.866310
662.615588,72.192513
664.464993,77.540107
666.314399,82.887701
668.163804,85.561497
670.013210,109.625668
671.862616,120.320856
673.712021,155.080214
675.561427,179.144385
677.410832,203.208556
679.260238,262.032086
681.109643,307.486631
682.959049,344.919786
684.808454,363.636364
686.657860,360.962567
688.507266,328.877005
690.356671,243.315508
692.206077,208.556150
694.055482,168.449198
695.904888,128.342246
697.754293,117.647059
699.603699,104.278075
703.302510,88.235294
705.151915,82.887701
707.001321,80.213904
708.850727,77.540107
710.700132,77.540107
712.549538,77.540107
714.398943,74.866310
716.248349,74.866310
718.097754,72.192513
719.947160,72.192513
721.796565,72.192513
723.645971,72.192513
725.495376,72.192513
727.344782,74.866310
729.194188,74.866310
731.043593,77.540107
732.892999,77.540107
734.742404,77.540107
736.591810,82.887701
738.441215,82.887701
740.290621,82.887701
742.140026,82.887701
743.989432,88.235294
745.838838,88.235294
747.688243,93.582888
749.537649,93.582888
751.387054,98.930481
753.236460,104.278075
755.085865,106.951872
756.935271,112.299465
758.784676,120.320856
760.634082,128.342246
762.483487,136.363636
764.332893,152.406417
766.182299,163.101604
768.031704,197.860963
769.881110,227.272727
771.730515,294.117647
773.579921,339.572193
775.429326,494.652406
777.278732,756.684492
