x,y_obs,y_calc,y_bkg,struct_CaNi(PO3)4_15_sym,struct_NiO_225_sym
9.9034,3567.0,3747.55,3746.2,1.33,0.02
9.9143,3624.0,3736.67,3735.32,1.33,0.02
9.9252,3582.0,3725.96,3724.61,1.34,0.02
9.936,3563.0,3715.45,3714.08,1.34,0.02
9.9469,3583.0,3705.1,3703.73,1.35,0.02
9.9578,3678.0,3694.96,3693.59,1.36,0.02
9.9686,3602.0,3685.01,3683.63,1.36,0.02
9.9795,3587.0,3675.2,3673.81,1.37,0.02
9.9904,3502.0,3665.57,3664.18,1.37,0.02
10.0012,3587.0,3656.09,3654.7,1.38,0.02
10.0121,3507.0,3646.77,3645.37,1.38,0.02
10.023,3493.0,3637.68,3636.27,1.39,0.02
10.0338,3496.0,3628.69,3627.28,1.4,0.02
10.0447,3477.0,3619.9,3618.48,1.4,0.02
10.0556,3498.0,3611.23,3609.81,1.41,0.02
10.0664,3463.0,3602.74,3601.31,1.42,0.02
10.0773,3443.0,3594.37,3592.93,1.42,0.02
10.0882,3520.0,3586.19,3584.75,1.43,0.02
10.099,3452.0,3578.14,3576.69,1.43,0.02
10.1099,3447.0,3570.21,3568.75,1.44,0.02
10.1208,3377.0,3562.46,3560.99,1.45,0.02
10.1316,3582.0,3554.83,3553.36,1.45,0.02
10.1425,3507.0,3547.34,3545.86,1.46,0.02
10.1534,3518.0,3539.97,3538.49,1.47,0.02
10.1642,3473.0,3532.75,3531.25,1.47,0.02
10.1751,3551.0,3525.68,3524.18,1.48,0.02
10.186,3597.0,3518.7,3517.2,1.48,0.02
10.1968,3492.0,3511.84,3510.33,1.49,0.02
10.2077,3526.0,3505.13,3503.62,1.5,0.02
10.2186,3504.0,3498.55,3497.03,1.51,0.02
10.2294,3528.0,3492.07,3490.54,1.51,0.02
10.2403,3444.0,3485.74,3484.2,1.52,0.02
10.2512,3403.0,3479.51,3477.96,1.53,0.02
10.262,3491.0,3473.37,3471.82,1.53,0.02
10.2729,3440.0,3467.35,3465.79,1.54,0.02
10.2838,3455.0,3461.46,3459.89,1.55,0.02
10.2946,3490.0,3455.65,3454.08,1.55,0.02
10.3055,3427.0,3449.97,3448.39,1.56,0.02
10.3164,3419.0,3444.39,3442.81,1.57,0.02
10.3272,3445.0,3438.92,3437.32,1.58,0.02
10.3381,3481.0,3433.55,3431.95,1.58,0.02
